2020-02-1001:25:36.576 2020-02-1001:25:36.632 2020-02-1001:25:36.586 2020-02-1001:25:36.577 
2020-02-1001:26:36.684 2020-02-1001:26:36.686 2020-02-1001:26:36.685 2020-02-1001:26:36.684 
2020-02-1001:27:36.687 2020-02-1001:27:36.688 2020-02-1001:27:36.688 2020-02-1001:27:36.688 
2020-02-1001:28:36.69 2020-02-1001:28:36.691 2020-02-1001:28:36.691 2020-02-1001:28:36.691 
2020-02-1001:29:36.693 2020-02-1001:29:36.694 2020-02-1001:29:36.694 2020-02-1001:29:36.693 
2020-02-1001:30:36.697 2020-02-1001:30:36.7 2020-02-1001:30:36.697 2020-02-1001:30:36.697 
2020-02-1001:31:36.702 2020-02-1001:31:36.704 2020-02-1001:31:36.702 2020-02-1001:31:36.702 
2020-02-1001:32:36.707 2020-02-1001:32:36.716 2020-02-1001:32:36.708 2020-02-1001:32:36.708 
2020-02-1001:33:36.723 2020-02-1001:33:36.724 2020-02-1001:33:36.724 2020-02-1001:33:36.724 
2020-02-1001:34:36.726 2020-02-1001:34:36.728 2020-02-1001:34:36.727 2020-02-1001:34:36.727 
2020-02-1001:35:36.73 2020-02-1001:35:36.732 2020-02-1001:35:36.73 2020-02-1001:35:36.73 
2020-02-1001:36:36.734 2020-02-1001:36:36.735 2020-02-1001:36:36.734 2020-02-1001:36:36.734 
2020-02-1001:37:36.737 2020-02-1001:37:36.739 2020-02-1001:37:36.738 2020-02-1001:37:36.737 
2020-02-1001:38:36.74 2020-02-1001:38:36.742 2020-02-1001:38:36.741 2020-02-1001:38:36.741 
2020-02-1001:39:36.744 2020-02-1001:39:36.745 2020-02-1001:39:36.744 2020-02-1001:39:36.744 
2020-02-1001:40:36.747 2020-02-1001:40:36.748 2020-02-1001:40:36.748 2020-02-1001:40:36.748 
2020-02-1001:41:36.75 2020-02-1001:41:36.752 2020-02-1001:41:36.75 2020-02-1001:41:36.75 
2020-02-1001:42:36.753 2020-02-1001:42:36.755 2020-02-1001:42:36.754 2020-02-1001:42:36.754 
2020-02-1001:43:36.757 2020-02-1001:43:36.759 2020-02-1001:43:36.758 2020-02-1001:43:36.758 
2020-02-1001:44:36.761 2020-02-1001:44:36.762 2020-02-1001:44:36.761 2020-02-1001:44:36.761 
2020-02-1001:45:36.764 2020-02-1001:45:36.765 2020-02-1001:45:36.764 2020-02-1001:45:36.764 
2020-02-1001:46:36.767 2020-02-1001:46:36.77 2020-02-1001:46:36.768 2020-02-1001:46:36.768 
2020-02-1001:47:36.771 2020-02-1001:47:36.772 2020-02-1001:47:36.771 2020-02-1001:47:36.771 
2020-02-1001:48:36.774 2020-02-1001:48:36.777 2020-02-1001:48:36.774 2020-02-1001:48:36.774 
2020-02-1001:49:36.779 2020-02-1001:49:36.78 2020-02-1001:49:36.779 2020-02-1001:49:36.779 
2020-02-1001:50:36.782 2020-02-1001:50:36.784 2020-02-1001:50:36.782 2020-02-1001:50:36.782 
2020-02-1001:51:36.786 2020-02-1001:51:36.79 2020-02-1001:51:36.786 2020-02-1001:51:36.786 
2020-02-1001:52:36.792 2020-02-1001:52:36.793 2020-02-1001:52:36.792 2020-02-1001:52:36.792 
2020-02-1001:53:36.796 2020-02-1001:53:36.798 2020-02-1001:53:36.797 2020-02-1001:53:36.797 
2020-02-1001:54:36.799 2020-02-1001:54:36.801 2020-02-1001:54:36.799 2020-02-1001:54:36.799 
2020-02-1001:55:36.803 2020-02-1001:55:36.803 2020-02-1001:55:36.803 2020-02-1001:55:36.803 
2020-02-1001:56:36.805 2020-02-1001:56:36.809 2020-02-1001:56:36.806 2020-02-1001:56:36.806 
2020-02-1001:57:36.811 2020-02-1001:57:36.811 2020-02-1001:57:36.811 2020-02-1001:57:36.811 
2020-02-1001:58:36.813 2020-02-1001:58:36.814 2020-02-1001:58:36.813 2020-02-1001:58:36.813 
2020-02-1001:59:36.818 2020-02-1001:59:36.819 2020-02-1001:59:36.819 2020-02-1001:59:36.818 
2020-02-1002:00:36.82 2020-02-1002:00:36.822 2020-02-1002:00:36.821 2020-02-1002:00:36.821 
2020-02-1002:01:36.825 2020-02-1002:01:36.827 2020-02-1002:01:36.825 2020-02-1002:01:36.825 
2020-02-1002:02:36.829 2020-02-1002:02:36.83 2020-02-1002:02:36.829 2020-02-1002:02:36.829 
