2020-02-1019:29:13.892 2020-02-1019:29:14.063 2020-02-1019:29:13.951 2020-02-1019:29:13.95 
2020-02-1019:30:14.128 2020-02-1019:30:14.245 2020-02-1019:30:14.188 2020-02-1019:30:14.188 
2020-02-1019:31:14.246 2020-02-1019:31:14.359 2020-02-1019:31:14.303 2020-02-1019:31:14.303 
2020-02-1019:32:14.361 2020-02-1019:32:14.477 2020-02-1019:32:14.42 2020-02-1019:32:14.42 
2020-02-1019:33:14.479 2020-02-1019:33:14.595 2020-02-1019:33:14.539 2020-02-1019:33:14.539 
2020-02-1019:34:14.598 2020-02-1019:34:14.713 2020-02-1019:34:14.657 2020-02-1019:34:14.657 
2020-02-1019:35:14.714 2020-02-1019:35:14.83 2020-02-1019:35:14.774 2020-02-1019:35:14.774 
2020-02-1019:36:14.832 2020-02-1019:36:14.946 2020-02-1019:36:14.888 2020-02-1019:36:14.888 
2020-02-1019:37:14.952 2020-02-1019:37:15.064 2020-02-1019:37:15.008 2020-02-1019:37:15.008 
2020-02-1019:38:15.065 2020-02-1019:38:15.183 2020-02-1019:38:15.125 2020-02-1019:38:15.125 
2020-02-1019:39:15.185 2020-02-1019:39:15.301 2020-02-1019:39:15.245 2020-02-1019:39:15.245 
2020-02-1019:40:15.303 2020-02-1019:40:15.419 2020-02-1019:40:15.362 2020-02-1019:40:15.362 
2020-02-1019:41:15.42 2020-02-1019:41:15.534 2020-02-1019:41:15.477 2020-02-1019:41:15.477 
2020-02-1019:42:15.535 2020-02-1019:42:15.651 2020-02-1019:42:15.594 2020-02-1019:42:15.594 
2020-02-1019:43:15.652 2020-02-1019:43:15.765 2020-02-1019:43:15.708 2020-02-1019:43:15.708 
2020-02-1019:44:15.767 2020-02-1019:44:15.88 2020-02-1019:44:15.823 2020-02-1019:44:15.823 
2020-02-1019:45:15.882 2020-02-1019:45:15.995 2020-02-1019:45:15.938 2020-02-1019:45:15.938 
2020-02-1019:46:15.996 2020-02-1019:46:16.112 2020-02-1019:46:16.056 2020-02-1019:46:16.055 
2020-02-1019:47:16.114 2020-02-1019:47:16.226 2020-02-1019:47:16.17 2020-02-1019:47:16.17 
2020-02-1019:48:16.229 2020-02-1019:48:16.345 2020-02-1019:48:16.288 2020-02-1019:48:16.288 
2020-02-1019:49:16.348 2020-02-1019:49:16.464 2020-02-1019:49:16.407 2020-02-1019:49:16.407 
2020-02-1019:50:16.466 2020-02-1019:50:16.582 2020-02-1019:50:16.525 2020-02-1019:50:16.525 
2020-02-1019:51:16.583 2020-02-1019:51:16.696 2020-02-1019:51:16.64 2020-02-1019:51:16.64 
2020-02-1019:52:16.698 2020-02-1019:52:16.811 2020-02-1019:52:16.754 2020-02-1019:52:16.754 
2020-02-1019:53:16.812 2020-02-1019:53:16.925 2020-02-1019:53:16.868 2020-02-1019:53:16.868 
2020-02-1019:54:16.928 2020-02-1019:54:17.044 2020-02-1019:54:16.987 2020-02-1019:54:16.987 
2020-02-1019:55:17.046 2020-02-1019:55:17.163 2020-02-1019:55:17.105 2020-02-1019:55:17.105 
2020-02-1019:56:17.164 2020-02-1019:56:17.278 2020-02-1019:56:17.22 2020-02-1019:56:17.22 
2020-02-1019:57:17.279 2020-02-1019:57:17.394 2020-02-1019:57:17.336 2020-02-1019:57:17.336 
2020-02-1019:58:17.396 2020-02-1019:58:17.509 2020-02-1019:58:17.452 2020-02-1019:58:17.452 
2020-02-1019:59:17.51 2020-02-1019:59:17.626 2020-02-1019:59:17.566 2020-02-1019:59:17.566 
2020-02-1020:00:17.627 2020-02-1020:00:17.74 2020-02-1020:00:17.683 2020-02-1020:00:17.683 
2020-02-1020:01:17.741 2020-02-1020:01:17.857 2020-02-1020:01:17.798 2020-02-1020:01:17.798 
2020-02-1020:02:17.859 2020-02-1020:02:17.978 2020-02-1020:02:17.918 2020-02-1020:02:17.918 
2020-02-1020:03:17.982 2020-02-1020:03:18.095 2020-02-1020:03:18.038 2020-02-1020:03:18.038 
2020-02-1020:04:18.096 2020-02-1020:04:18.212 2020-02-1020:04:18.152 2020-02-1020:04:18.152 
2020-02-1020:05:18.213 2020-02-1020:05:18.327 2020-02-1020:05:18.271 2020-02-1020:05:18.271 
2020-02-1020:06:18.328 2020-02-1020:06:18.442 2020-02-1020:06:18.384 2020-02-1020:06:18.384 
2020-02-1020:07:18.443 2020-02-1020:07:18.562 2020-02-1020:07:18.502 2020-02-1020:07:18.502 
2020-02-1020:08:18.563 2020-02-1020:08:18.677 2020-02-1020:08:18.62 2020-02-1020:08:18.62 
2020-02-1020:09:18.678 2020-02-1020:09:18.795 2020-02-1020:09:18.738 2020-02-1020:09:18.738 
2020-02-1020:10:18.796 2020-02-1020:10:18.913 2020-02-1020:10:18.855 2020-02-1020:10:18.855 
2020-02-1020:11:18.915 2020-02-1020:11:19.032 2020-02-1020:11:18.974 2020-02-1020:11:18.974 
2020-02-1020:12:19.033 2020-02-1020:12:19.15 2020-02-1020:12:19.092 2020-02-1020:12:19.092 
2020-02-1020:13:19.151 2020-02-1020:13:19.267 2020-02-1020:13:19.21 2020-02-1020:13:19.21 
2020-02-1020:14:19.268 2020-02-1020:14:19.382 2020-02-1020:14:19.325 2020-02-1020:14:19.325 
2020-02-1020:15:19.383 2020-02-1020:15:19.501 2020-02-1020:15:19.44 2020-02-1020:15:19.44 
2020-02-1020:16:19.502 2020-02-1020:16:19.616 2020-02-1020:16:19.559 2020-02-1020:16:19.559 
2020-02-1020:17:19.618 2020-02-1020:17:19.732 2020-02-1020:17:19.675 2020-02-1020:17:19.675 
2020-02-1020:18:19.733 2020-02-1020:18:19.85 2020-02-1020:18:19.793 2020-02-1020:18:19.792 
