2020-02-1022:28:24.737 2020-02-1022:28:25.503 2020-02-1022:28:25.448 2020-02-1022:28:25.441 
2020-02-1022:29:25.504 2020-02-1022:29:25.548 2020-02-1022:29:25.537 2020-02-1022:29:25.537 
2020-02-1022:30:25.552 2020-02-1022:30:25.587 2020-02-1022:30:25.574 2020-02-1022:30:25.574 
2020-02-1022:31:25.588 2020-02-1022:31:25.623 2020-02-1022:31:25.613 2020-02-1022:31:25.613 
2020-02-1022:32:25.624 2020-02-1022:32:25.651 2020-02-1022:32:25.645 2020-02-1022:32:25.645 
2020-02-1022:33:25.652 2020-02-1022:33:25.686 2020-02-1022:33:25.679 2020-02-1022:33:25.679 
2020-02-1022:34:25.687 2020-02-1022:34:25.717 2020-02-1022:34:25.705 2020-02-1022:34:25.705 
2020-02-1022:35:25.718 2020-02-1022:35:25.749 2020-02-1022:35:25.74 2020-02-1022:35:25.74 
2020-02-1022:36:25.75 2020-02-1022:36:25.779 2020-02-1022:36:25.772 2020-02-1022:36:25.772 
2020-02-1022:37:25.78 2020-02-1022:37:25.814 2020-02-1022:37:25.806 2020-02-1022:37:25.806 
2020-02-1022:38:25.814 2020-02-1022:38:25.853 2020-02-1022:38:25.845 2020-02-1022:38:25.845 
2020-02-1022:39:25.853 2020-02-1022:39:25.887 2020-02-1022:39:25.879 2020-02-1022:39:25.879 
2020-02-1022:40:25.888 2020-02-1022:40:25.918 2020-02-1022:40:25.912 2020-02-1022:40:25.912 
2020-02-1022:41:25.919 2020-02-1022:41:25.948 2020-02-1022:41:25.943 2020-02-1022:41:25.943 
2020-02-1022:42:25.949 2020-02-1022:42:25.975 2020-02-1022:42:25.968 2020-02-1022:42:25.968 
2020-02-1022:43:25.976 2020-02-1022:43:26.011 2020-02-1022:43:26.004 2020-02-1022:43:26.004 
2020-02-1022:44:26.012 2020-02-1022:44:26.041 2020-02-1022:44:26.035 2020-02-1022:44:26.035 
2020-02-1022:45:26.042 2020-02-1022:45:26.066 2020-02-1022:45:26.06 2020-02-1022:45:26.06 
2020-02-1022:46:26.067 2020-02-1022:46:26.097 2020-02-1022:46:26.088 2020-02-1022:46:26.088 
2020-02-1022:47:26.098 2020-02-1022:47:26.127 2020-02-1022:47:26.119 2020-02-1022:47:26.119 
2020-02-1022:48:26.128 2020-02-1022:48:26.153 2020-02-1022:48:26.146 2020-02-1022:48:26.146 
2020-02-1022:49:26.154 2020-02-1022:49:26.191 2020-02-1022:49:26.177 2020-02-1022:49:26.177 
2020-02-1022:50:26.192 2020-02-1022:50:26.217 2020-02-1022:50:26.21 2020-02-1022:50:26.21 
2020-02-1022:51:26.218 2020-02-1022:51:26.249 2020-02-1022:51:26.243 2020-02-1022:51:26.243 
2020-02-1022:52:26.25 2020-02-1022:52:26.273 2020-02-1022:52:26.267 2020-02-1022:52:26.266 
2020-02-1022:53:26.274 2020-02-1022:53:26.305 2020-02-1022:53:26.298 2020-02-1022:53:26.298 
2020-02-1022:54:26.306 2020-02-1022:54:26.345 2020-02-1022:54:26.327 2020-02-1022:54:26.327 
2020-02-1022:55:26.346 2020-02-1022:55:26.376 2020-02-1022:55:26.367 2020-02-1022:55:26.367 
2020-02-1022:56:26.377 2020-02-1022:56:26.41 2020-02-1022:56:26.403 2020-02-1022:56:26.403 
2020-02-1022:57:26.411 2020-02-1022:57:26.468 2020-02-1022:57:26.433 2020-02-1022:57:26.433 
2020-02-1022:58:26.469 2020-02-1022:58:26.494 2020-02-1022:58:26.488 2020-02-1022:58:26.488 
2020-02-1022:59:26.495 2020-02-1022:59:26.53 2020-02-1022:59:26.524 2020-02-1022:59:26.524 
2020-02-1023:00:26.531 2020-02-1023:00:26.562 2020-02-1023:00:26.553 2020-02-1023:00:26.553 
2020-02-1023:01:26.562 2020-02-1023:01:26.587 2020-02-1023:01:26.582 2020-02-1023:01:26.582 
2020-02-1023:02:26.588 2020-02-1023:02:26.612 2020-02-1023:02:26.609 2020-02-1023:02:26.609 
2020-02-1023:03:26.613 2020-02-1023:03:26.649 2020-02-1023:03:26.642 2020-02-1023:03:26.642 
2020-02-1023:04:26.65 2020-02-1023:04:26.683 2020-02-1023:04:26.676 2020-02-1023:04:26.676 
2020-02-1023:05:26.684 2020-02-1023:05:26.712 2020-02-1023:05:26.706 2020-02-1023:05:26.706 
