2020-02-1022:33:32.293 2020-02-1022:33:33.433 2020-02-1022:33:33.314 2020-02-1022:33:33.303 
2020-02-1022:34:33.434 2020-02-1022:34:33.805 2020-02-1022:34:33.74 2020-02-1022:34:33.74 
2020-02-1022:35:33.808 2020-02-1022:35:34.181 2020-02-1022:35:34.104 2020-02-1022:35:34.104 
2020-02-1022:36:34.182 2020-02-1022:36:34.539 2020-02-1022:36:34.478 2020-02-1022:36:34.478 
2020-02-1022:37:34.54 2020-02-1022:37:34.897 2020-02-1022:37:34.837 2020-02-1022:37:34.837 
2020-02-1022:38:34.898 2020-02-1022:38:35.26 2020-02-1022:38:35.199 2020-02-1022:38:35.199 
2020-02-1022:39:35.261 2020-02-1022:39:35.613 2020-02-1022:39:35.554 2020-02-1022:39:35.554 
2020-02-1022:40:35.614 2020-02-1022:40:35.973 2020-02-1022:40:35.914 2020-02-1022:40:35.914 
2020-02-1022:41:35.974 2020-02-1022:41:36.333 2020-02-1022:41:36.272 2020-02-1022:41:36.272 
2020-02-1022:42:36.333 2020-02-1022:42:36.695 2020-02-1022:42:36.635 2020-02-1022:42:36.635 
2020-02-1022:43:36.696 2020-02-1022:43:37.054 2020-02-1022:43:36.992 2020-02-1022:43:36.992 
2020-02-1022:44:37.055 2020-02-1022:44:37.409 2020-02-1022:44:37.349 2020-02-1022:44:37.349 
2020-02-1022:45:37.41 2020-02-1022:45:37.77 2020-02-1022:45:37.709 2020-02-1022:45:37.709 
2020-02-1022:46:37.771 2020-02-1022:46:38.124 2020-02-1022:46:38.065 2020-02-1022:46:38.065 
2020-02-1022:47:38.125 2020-02-1022:47:38.48 2020-02-1022:47:38.419 2020-02-1022:47:38.418 
2020-02-1022:48:38.481 2020-02-1022:48:38.841 2020-02-1022:48:38.78 2020-02-1022:48:38.78 
2020-02-1022:49:38.842 2020-02-1022:49:39.197 2020-02-1022:49:39.138 2020-02-1022:49:39.137 
2020-02-1022:50:39.198 2020-02-1022:50:39.552 2020-02-1022:50:39.493 2020-02-1022:50:39.493 
2020-02-1022:51:39.553 2020-02-1022:51:39.909 2020-02-1022:51:39.85 2020-02-1022:51:39.85 
2020-02-1022:52:39.91 2020-02-1022:52:40.268 2020-02-1022:52:40.206 2020-02-1022:52:40.206 
2020-02-1022:53:40.269 2020-02-1022:53:40.621 2020-02-1022:53:40.562 2020-02-1022:53:40.562 
2020-02-1022:54:40.622 2020-02-1022:54:40.978 2020-02-1022:54:40.916 2020-02-1022:54:40.916 
2020-02-1022:55:40.979 2020-02-1022:55:41.332 2020-02-1022:55:41.273 2020-02-1022:55:41.273 
2020-02-1022:56:41.333 2020-02-1022:56:41.685 2020-02-1022:56:41.625 2020-02-1022:56:41.625 
2020-02-1022:57:41.686 2020-02-1022:57:42.043 2020-02-1022:57:41.985 2020-02-1022:57:41.985 
2020-02-1022:58:42.044 2020-02-1022:58:42.4 2020-02-1022:58:42.339 2020-02-1022:58:42.339 
2020-02-1022:59:42.401 2020-02-1022:59:42.761 2020-02-1022:59:42.7 2020-02-1022:59:42.7 
2020-02-1023:00:42.762 2020-02-1023:00:43.114 2020-02-1023:00:43.054 2020-02-1023:00:43.054 
2020-02-1023:01:43.115 2020-02-1023:01:43.467 2020-02-1023:01:43.407 2020-02-1023:01:43.407 
2020-02-1023:02:43.467 2020-02-1023:02:43.857 2020-02-1023:02:43.761 2020-02-1023:02:43.761 
